plant_id,sex,fp1_x_ft,fp1_y_ft,x_meters,y_meters,soil_sampled
310,F,-1.3,1.666666667,-0.39624,0.508,No
311,F,-15.4,-2.333333333,-4.69392,-0.7112,No
312,F,-14.5,-1.916666667,-4.4196,-0.5842,No
313,H,-15.28,-1.395833333,-4.657344,-0.42545,No
314,H,-15.23,-1.25,-4.642104,-0.381,No
315,H,-15.42,-0.5,-4.700016,-0.1524,No
316,F,-13.65,2.25,-4.16052,0.6858,No
317,F,-13.55,2.1875,-4.13004,0.66675,No
318,F,-13.58,2.125,-4.139184,0.6477,No
319,F,-13.7,2.020833333,-4.17576,0.61595,No
320,F,-12.95,1.5,-3.94716,0.4572,No
321,F,-13,1.458333333,-3.9624,0.4445,No
322,F,-12.72,1.458333333,-3.877056,0.4445,No
323,F,-12.18,1.333333333,-3.712464,0.4064,No
324,F,-12.23,1.5,-3.727704,0.4572,No
325,F,-12.56,1.208333333,-3.828288,0.3683,No
326,F,-12,1.375,-3.6576,0.4191,No
327,F,-11.61,3.020833333,-3.538728,0.92075,No
328,F,-11.45,2.979166667,-3.48996,0.90805,No
329,F,-11.68,2.833333333,-3.560064,0.8636,No
330,F,-11.62,2.833333333,-3.541776,0.8636,No
331,F,-11.61,2.833333333,-3.538728,0.8636,No
332,F,-11.68,2.666666667,-3.560064,0.8128,No
333,F,-11.41,2.854166667,-3.477768,0.86995,No
334,F,-11.47,2.9375,-3.496056,0.89535,No
335,F,-11.43,2.666666667,-3.483864,0.8128,No
336,H,-14.18,0.1875,-4.322064,0.05715,No
337,H,-14.25,0.083333333,-4.3434,0.0254,No
338,H,-14.17,0.125,-4.319016,0.0381,No
339,H,-14.1,-0.020833333,-4.29768,-0.00635,No
340,H,-14.52,0.166666667,-4.425696,0.0508,No
341,H,-14.46,0.125,-4.407408,0.0381,No
342,H,-14.25,0,-4.3434,0,No
343,H,-14.27,0,-4.349496,0,No
344,H,-14.45,0,-4.40436,0,No
345,H,-14.35,-0.125,-4.37388,-0.0381,No
346,H,-14.35,-0.0625,-4.37388,-0.01905,No
347,F,-14.22,-1.041666667,-4.334256,-0.3175,No
348,F,-13.85,-1.333333333,-4.22148,-0.4064,No
349,H,-13.7,-1.395833333,-4.17576,-0.42545,No
350,H,-13.74,-1.4375,-4.187952,-0.43815,No
351,H,-16.8,1.416666667,-5.12064,0.4318,No
352,H,-16.88,1.458333333,-5.145024,0.4445,No
353,H,-16.96,1.229166667,-5.169408,0.37465,No
354,H,-16.75,1.333333333,-5.1054,0.4064,No
355,H,-16.48,0.541666667,-5.023104,0.1651,No
356,H,-16.73,0.541666667,-5.099304,0.1651,No
357,H,-16.61,0.5625,-5.062728,0.17145,No
358,H,-16.7,0.645833333,-5.09016,0.19685,No
Soil Sample 1,F,-0.291666667,-0.354166667,-0.0889,-0.10795,Yes
Soil Sample 2,F,-6.375,-2.583333333,-1.9431,-0.7874,Yes
Soil Sample 3,H,-12.04166667,-4.5625,-3.6703,-1.39065,Yes
Soil Sample 4,H,-9.708333333,-1.395833333,-2.9591,-0.42545,Yes
Soil Sample 5,F,-13.55,2.1875,-4.13004,0.66675,Yes
Soil Sample 6,H,-16.88,1.458333333,-5.145024,0.4445,Yes
